,zcta,q_score
0,10001,24.404568318048803
1,10002,25.46332581394525
2,10003,26.92142449067597
3,10004,21.04342866354839
4,10005,22.474182581443294
5,10006,22.984866232393166
6,10007,25.1136692376744
7,10009,25.587562505481294
8,10010,25.09513917105263
9,10011,26.372724893721482
10,10012,26.046004495833326
11,10013,24.939414371197028
12,10014,25.273701273641315
13,10016,25.54204691584417
14,10017,24.159210150213667
15,10018,23.408209984553245
16,10019,24.869631990775645
17,10020,24.981419321951225
18,10021,26.409704126782625
19,10022,25.65775296520423
20,10023,26.716519154692115
21,10024,27.664232226912937
22,10025,28.30164521137442
23,10026,28.021541715767626
24,10027,26.658668039050802
25,10028,28.23256840638298
26,10029,26.357358848594743
27,10030,28.159532542654016
28,10031,26.578768983734214
29,10032,25.853984654121852
30,10033,26.112275187050347
31,10034,24.51311738775512
32,10035,22.525984927144023
33,10036,25.094185162839874
34,10037,25.687416818941497
35,10038,23.85965645014246
36,10039,24.72755992792792
37,10040,26.35213698298676
38,10044,22.304916084210536
39,10065,26.062253196521734
40,10069,21.29351665546219
41,10075,27.67327906859207
42,10103,25.620217866666668
43,10110,26.973328133333332
44,10111,27.145334833333337
45,10112,26.847325375
46,10115,21.8709266
47,10119,28.001381315789473
48,10128,26.604343554227405
49,10152,26.65620511111111
50,10153,28.690067666666668
51,10154,27.114665333333335
52,10162,29.72292823529412
53,10165,23.677228500000002
54,10167,27.70726142857143
55,10168,25.593642428571428
56,10169,21.844906
57,10170,21.442336333333333
58,10171,22.323726833333335
59,10172,24.520749
60,10173,24.941586
61,10174,26.580632000000005
62,10177,26.644675499999998
63,10199,22.554971187499994
64,10271,21.453618249999998
65,10278,29.716743642857143
66,10279,28.305656375
67,10280,25.53052365408163
68,10282,25.58024710714285
69,10301,24.98618519775577
70,10302,23.485871943757736
71,10303,21.896537972021502
72,10304,25.08490528175881
73,10305,23.400335051596986
74,10306,24.700499704379084
75,10307,25.899629242284973
76,10308,25.03709849572467
77,10309,25.148941941397762
78,10310,24.338405305142395
79,10311,23.158852090909093
80,10312,25.514215182209
81,10314,23.841814249168245
82,10451,23.31247092914156
83,10452,24.581677920634906
84,10453,24.741986665490188
85,10454,22.75630401186995
86,10455,25.067058132454335
87,10456,25.473620766779682
88,10457,23.95173527754318
89,10458,24.885856081855394
90,10459,24.57287305882353
91,10460,23.528906215914766
92,10461,24.488017235836587
93,10462,24.302133857757763
94,10463,25.405344489225122
95,10464,23.71973177241377
96,10465,23.254483165994305
97,10466,26.549523153879704
98,10467,25.661065545420367
99,10468,25.154871440979946
100,10469,26.025405133481623
101,10470,24.49361041605837
102,10471,26.08839861534154
103,10472,25.33611011133951
104,10473,23.854912790506326
105,10474,19.642735236700062
106,10475,22.785922191088446
107,11001,24.31359231730769
108,11003,20.31231294117647
109,11004,
110,11005,
111,11040,
112,11101,20.863510958599328
113,11102,24.670892233918128
114,11103,26.891438041821548
115,11104,26.71690026999999
116,11105,24.326896637254936
117,11106,24.628673228559165
118,11109,22.635881884615376
119,11201,23.998851929505523
120,11203,25.693995307004347
121,11204,25.978685633637532
122,11205,23.869465837720824
123,11206,24.47935887824559
124,11207,24.85398175187022
125,11208,23.561569959695767
126,11209,25.83032055514014
127,11210,26.714629127416657
128,11211,24.114858092672918
129,11212,25.5286182936277
130,11213,27.53096673749213
131,11214,25.529958708479278
132,11215,25.314731940363817
133,11216,27.26760793246188
134,11217,25.734456824775563
135,11218,26.18617548694816
136,11219,25.541240985701442
137,11220,25.633776139160386
138,11221,26.213118888608864
139,11222,22.72478345083423
140,11223,26.352433262468864
141,11224,22.730642317067986
142,11225,26.691716986185746
143,11226,26.85429093251335
144,11228,25.95885022625965
145,11229,26.92313638090582
146,11230,26.997002133977745
147,11231,21.854038483534364
148,11232,21.3455507339158
149,11233,25.929303464354845
150,11234,24.798462222898582
151,11235,25.44931711105442
152,11236,25.065557515124535
153,11237,22.99400503180497
154,11238,26.055007005098048
155,11239,24.49139830801687
156,11351,19.600170666666667
157,11354,25.192160918482248
158,11355,26.688199581153945
159,11356,23.089916825141767
160,11357,25.494668735095768
161,11358,26.78960956447589
162,11359,21.153412749999998
163,11360,23.74709752744659
164,11361,26.449229558333336
165,11362,23.87453509803922
166,11363,
167,11364,26.626133969512164
168,11365,25.7266865611581
169,11366,25.980122936090215
170,11367,25.05977793103447
171,11368,24.47217740593271
172,11369,24.7390427308847
173,11370,26.062558950257305
174,11371,20.737888575342463
175,11372,28.08973805152603
176,11373,25.36788427896859
177,11374,26.599522905015213
178,11375,27.182950011318223
179,11377,24.128796889093802
180,11378,23.177551751801353
181,11379,25.485839340485043
182,11385,25.00890553815923
183,11411,25.45401808810576
184,11412,27.04056335740507
185,11413,24.74419434943973
186,11414,22.25286021932899
187,11415,26.73389803953147
188,11416,24.59275473256283
189,11417,25.923762731735742
190,11418,26.014461514455107
191,11419,26.902325582345977
192,11420,26.052190475158255
193,11421,27.02029220355196
194,11422,24.43230639271603
195,11423,26.977212260437394
196,11424,22.946951264705884
197,11425,23.740565545454547
198,11426,27.913765597597617
199,11427,27.376829318484393
200,11428,26.771786405457426
201,11429,25.626274191268948
202,11430,18.748007603180785
203,11432,27.205563998575876
204,11433,25.059650703074645
205,11434,24.92137520995067
206,11435,25.065421283302705
207,11436,24.895680028109037
208,11451,19.79724447368421
209,11691,22.220858826674434
210,11692,19.701664413114756
211,11693,19.478787185351546
212,11694,24.22139885108036
213,11697,18.3527623938918
